Country or region,Region,Overall rank,Score,Standard Error,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption,Generosity
Finland,Western Europe,1,7.769,0.03411,1.34,1.587,0.986,0.596,0.393,0.153
Denmark,Western Europe,2,7.6,0.04884,1.383,1.573,0.996,0.592,0.41,0.252
Norway,Western Europe,3,7.554,0.03328,1.488,1.582,1.028,0.603,0.341,0.271
Iceland,Western Europe,4,7.494,0.0388,1.38,1.624,1.026,0.591,0.118,0.354
Netherlands,Western Europe,5,7.488,0.03553,1.396,1.522,0.999,0.557,0.298,0.322
Switzerland,Western Europe,6,7.48,0.0314,1.452,1.526,1.052,0.572,0.343,0.263
Sweden,Western Europe,7,7.343,0.02799,1.387,1.487,1.009,0.574,0.373,0.267
New Zealand,Australia and New Zealand,8,7.307,0.03157,1.303,1.557,1.026,0.585,0.38,0.33
Canada,North America,9,7.278,0.03371,1.365,1.505,1.039,0.584,0.308,0.285
Austria,Western Europe,10,7.246,0.04083,1.376,1.475,1.016,0.532,0.226,0.244
Australia,Australia and New Zealand,11,7.228,0.0347,1.372,1.548,1.036,0.557,0.29,0.332
Costa Rica,Latin America and Caribbean,12,7.167,0.04454,1.034,1.441,0.963,0.558,0.093,0.144
Israel,Middle East and Northern Africa,13,7.139,0.03751,1.276,1.455,1.029,0.371,0.082,0.261
Luxembourg,Western Europe,14,7.09,0.04176,1.609,1.479,1.012,0.526,0.316,0.194
United Kingdom,Western Europe,15,7.054,0.03839,1.333,1.538,0.996,0.45,0.278,0.348
Ireland,Western Europe,16,7.021,0.04076,1.499,1.553,0.999,0.516,0.31,0.298
Germany,Western Europe,17,6.985,0.03499,1.373,1.454,0.987,0.495,0.265,0.261
Belgium,Western Europe,18,6.923,0.03676,1.356,1.504,0.986,0.473,0.21,0.16
United States,North America,19,6.892,0.03595,1.433,1.457,0.874,0.454,0.128,0.28
Czech Republic,Central and Eastern Europe,20,6.852,0.03729,1.269,1.487,0.92,0.457,0.036,0.046
United Arab Emirates,Middle East and Northern Africa,21,6.825,0.01866,1.503,1.31,0.825,0.598,0.182,0.262
Malta,Western Europe,22,6.726,0.05335,1.3,1.52,0.999,0.564,0.151,0.375
Mexico,Latin America and Caribbean,23,6.595,0.06476,1.07,1.323,0.861,0.433,0.073,0.074
France,Western Europe,24,6.592,0.0378,1.324,1.472,1.045,0.436,0.183,0.111
Taiwan,Eastern Asia,25,6.446,0.0491,1.368,1.43,0.914,0.351,0.097,0.242
Chile,Latin America and Caribbean,26,6.444,0.01848,1.159,1.369,0.92,0.357,0.056,0.187
Guatemala,Latin America and Caribbean,27,6.436,0.058,0.8,1.269,0.746,0.535,0.078,0.175
Saudi Arabia,Middle East and Northern Africa,28,6.375,0.06257,1.403,1.357,0.795,0.439,0.132,0.08
Qatar,Middle East and Northern Africa,29,6.374,0.03512,1.684,1.313,0.871,0.555,0.167,0.22
Spain,Western Europe,30,6.354,0.04612,1.286,1.484,1.062,0.362,0.079,0.153
Panama,Latin America and Caribbean,31,6.321,0.04168,1.149,1.442,0.91,0.516,0.054,0.109
Brazil,Latin America and Caribbean,32,6.3,0.04539,1.004,1.439,0.802,0.39,0.086,0.099
Uruguay,Latin America and Caribbean,33,6.293,0.05051,1.124,1.465,0.891,0.523,0.15,0.127
Singapore,Southeastern Asia,34,6.262,0.03557,1.572,1.463,1.141,0.556,0.453,0.271
El Salvador,Latin America and Caribbean,35,6.253,0.04633,0.794,1.242,0.789,0.43,0.074,0.093
Italy,Western Europe,36,6.223,0.03468,1.294,1.488,1.039,0.231,0.03,0.158
Bahrain,Middle East and Northern Africa,37,6.199,0.04206,1.362,1.368,0.871,0.536,0.11,0.255
Slovakia,Central and Eastern Europe,38,6.198,0.03868,1.246,1.504,0.881,0.334,0.014,0.121
Poland,Central and Eastern Europe,40,6.182,0.09811,1.206,1.438,0.884,0.483,0.05,0.117
Uzbekistan,Central and Eastern Europe,41,6.174,0.10895,0.745,1.529,0.756,0.631,0.24,0.322
Lithuania,Central and Eastern Europe,42,6.149,0.05618,1.238,1.515,0.818,0.291,0.042,0.043
Colombia,Latin America and Caribbean,43,6.125,0.05224,0.985,1.41,0.841,0.47,0.034,0.099
Slovenia,Central and Eastern Europe,44,6.118,0.04361,1.258,1.523,0.953,0.564,0.057,0.144
Nicaragua,Latin America and Caribbean,45,6.105,0.04267,0.694,1.325,0.835,0.435,0.127,0.2
Kosovo,Central and Eastern Europe,46,6.1,0.03581,0.882,1.232,0.758,0.489,0.006,0.262
Argentina,Latin America and Caribbean,47,6.086,0.04098,1.092,1.432,0.881,0.471,0.05,0.066
Romania,Central and Eastern Europe,48,6.07,0.04528,1.162,1.232,0.825,0.462,0.005,0.083
Cyprus,Western Europe,49,6.046,0.05412,1.263,1.223,1.042,0.406,0.041,0.19
Ecuador,Latin America and Caribbean,50,6.028,0.03914,0.912,1.312,0.868,0.498,0.087,0.126
Kuwait,Middle East and Northern Africa,51,6.021,0.05642,1.5,1.319,0.808,0.493,0.097,0.142
Thailand,Southeastern Asia,52,6.008,0.03799,1.05,1.409,0.828,0.557,0.028,0.359
Latvia,Central and Eastern Europe,53,5.94,0.04563,1.187,1.465,0.812,0.264,0.064,0.075
South Korea,Eastern Asia,54,5.895,0.04114,1.301,1.219,1.036,0.159,0.056,0.175
Estonia,Central and Eastern Europe,55,5.893,0.04251,1.237,1.528,0.874,0.495,0.161,0.103
Jamaica,Latin America and Caribbean,56,5.89,0.03843,0.831,1.478,0.831,0.49,0.028,0.107
Mauritius,Sub-Saharan Africa,57,5.888,0.05371,1.12,1.402,0.798,0.498,0.06,0.215
Japan,Eastern Asia,58,5.886,0.04615,1.327,1.419,1.088,0.445,0.14,0.069
Honduras,Latin America and Caribbean,59,5.86,0.03938,0.642,1.236,0.828,0.507,0.078,0.246
Kazakhstan,Central and Eastern Europe,60,5.809,0.04263,1.173,1.508,0.729,0.41,0.096,0.146
Bolivia,Latin America and Caribbean,61,5.779,0.0433,0.776,1.209,0.706,0.511,0.064,0.137
Hungary,Central and Eastern Europe,62,5.758,0.04394,1.201,1.41,0.828,0.199,0.02,0.081
Paraguay,Latin America and Caribbean,63,5.743,0.07832,0.855,1.475,0.777,0.514,0.08,0.184
Peru,Latin America and Caribbean,65,5.697,0.13693,0.96,1.274,0.854,0.455,0.027,0.083
Portugal,Western Europe,66,5.693,0.05635,1.221,1.431,0.999,0.508,0.025,0.047
Pakistan,Southern Asia,67,5.653,0.0558,0.677,0.886,0.535,0.313,0.098,0.22
Russia,Central and Eastern Europe,68,5.648,0.05099,1.183,1.452,0.726,0.334,0.031,0.082
Philippines,Southeastern Asia,69,5.631,0.05018,0.807,1.293,0.657,0.558,0.107,0.117
Serbia,Central and Eastern Europe,70,5.603,0.04175,1.004,1.383,0.854,0.282,0.039,0.137
Moldova,Central and Eastern Europe,71,5.529,0.07197,0.685,1.328,0.739,0.245,0,0.181
Libya,Middle East and Northern Africa,72,5.525,0.05051,1.044,1.303,0.673,0.416,0.152,0.133
Montenegro,Central and Eastern Europe,73,5.523,0.04013,1.051,1.361,0.871,0.197,0.08,0.142
Tajikistan,Central and Eastern Europe,74,5.467,0.02596,0.493,1.098,0.718,0.389,0.144,0.23
Croatia,Central and Eastern Europe,75,5.432,0.03107,1.155,1.266,0.914,0.296,0.022,0.119
Hong Kong,Eastern Asia,76,5.43,0.03864,1.438,1.277,1.122,0.44,0.287,0.258
Dominican Republic,Latin America and Caribbean,77,5.425,0.03823,1.015,1.401,0.779,0.497,0.101,0.113
Bosnia and Herzegovina,Central and Eastern Europe,78,5.386,0.04192,0.945,1.212,0.845,0.212,0.006,0.263
Turkey,Middle East and Northern Africa,79,5.373,0.03225,1.183,1.36,0.808,0.195,0.106,0.083
Malaysia,Southeastern Asia,80,5.339,0.03363,1.221,1.171,0.828,0.508,0.024,0.26
Belarus,Central and Eastern Europe,81,5.323,0.03726,1.067,1.465,0.789,0.235,0.142,0.094
Greece,Western Europe,82,5.287,0.04524,1.181,1.156,0.999,0.067,0.034,0
Mongolia,Eastern Asia,83,5.285,0.05235,0.948,1.531,0.667,0.317,0.038,0.235
Nigeria,Sub-Saharan Africa,85,5.265,0.06988,0.696,1.111,0.245,0.426,0.041,0.215
Kyrgyzstan,Central and Eastern Europe,86,5.261,0.06607,0.551,1.438,0.723,0.508,0.023,0.3
Turkmenistan,Central and Eastern Europe,87,5.247,0.04864,1.052,1.538,0.657,0.394,0.028,0.244
Algeria,Middle East and Northern Africa,88,5.211,0.04802,1.002,1.16,0.785,0.086,0.114,0.073
Morocco,Middle East and Northern Africa,89,5.208,0.0464,0.801,0.782,0.782,0.418,0.076,0.036
Azerbaijan,Central and Eastern Europe,90,5.208,0.04934,1.043,1.147,0.769,0.351,0.182,0.035
Lebanon,Middle East and Northern Africa,91,5.197,0.06161,0.987,1.224,0.815,0.216,0.027,0.166
Indonesia,Southeastern Asia,92,5.192,0.0342,0.931,1.203,0.66,0.491,0.028,0.498
China,Eastern Asia,93,5.191,0.05376,1.029,1.125,0.893,0.521,0.1,0.058
Vietnam,Southeastern Asia,94,5.175,0.07896,0.741,1.346,0.851,0.543,0.073,0.147
Bhutan,Southern Asia,95,5.082,0.05013,0.813,1.321,0.604,0.457,0.167,0.37
Cameroon,Sub-Saharan Africa,96,5.044,0.06913,0.549,0.91,0.331,0.381,0.037,0.187
Bulgaria,Central and Eastern Europe,97,5.011,0.09438,1.092,1.513,0.815,0.311,0.004,0.081
Ghana,Sub-Saharan Africa,98,4.996,0.07446,0.611,0.868,0.486,0.381,0.04,0.245
Ivory Coast,Sub-Saharan Africa,99,4.944,0.06698,0.569,0.808,0.232,0.352,0.09,0.154
Nepal,Southern Asia,100,4.913,0.03313,0.446,1.226,0.677,0.439,0.089,0.285
Jordan,Middle East and Northern Africa,101,4.906,0.08742,0.837,1.225,0.815,0.383,0.13,0.11
Benin,Sub-Saharan Africa,102,4.883,0.05062,0.393,0.437,0.397,0.349,0.082,0.175
Congo (Brazzaville),Sub-Saharan Africa,103,4.812,0.04337,0.673,0.799,0.508,0.372,0.093,0.105
Gabon,Sub-Saharan Africa,104,4.799,0.06107,1.057,1.183,0.571,0.295,0.055,0.043
Laos,Southeastern Asia,105,4.796,0.05648,0.764,1.03,0.551,0.547,0.164,0.266
South Africa,Sub-Saharan Africa,106,4.722,0.03198,0.96,1.351,0.469,0.389,0.055,0.13
Albania,Central and Eastern Europe,107,4.719,0.03589,0.947,0.848,0.874,0.383,0.027,0.178
Venezuela,Latin America and Caribbean,108,4.707,0.04394,0.96,1.427,0.805,0.154,0.047,0.064
Cambodia,Southeastern Asia,109,4.7,0.03077,0.574,1.122,0.637,0.609,0.062,0.232
Palestinian Territories,Middle East and Northern Africa,110,4.696,0.04449,0.657,1.247,0.672,0.225,0.066,0.103
Senegal,Sub-Saharan Africa,111,4.681,0.04412,0.45,1.134,0.571,0.292,0.072,0.153
Niger,Sub-Saharan Africa,114,4.628,0.04742,0.138,0.774,0.366,0.318,0.102,0.188
Burkina Faso,Sub-Saharan Africa,115,4.587,0.0429,0.331,1.056,0.38,0.255,0.113,0.177
Armenia,Central and Eastern Europe,116,4.559,0.11068,0.85,1.055,0.815,0.283,0.064,0.095
Iran,Middle East and Northern Africa,117,4.548,0.02043,1.1,0.842,0.785,0.305,0.125,0.27
Guinea,Sub-Saharan Africa,118,4.534,0.0674,0.38,0.829,0.375,0.332,0.086,0.207
Georgia,Central and Eastern Europe,119,4.519,0.07331,0.886,0.666,0.752,0.346,0.164,0.043
Kenya,Sub-Saharan Africa,121,4.509,0.03607,0.512,0.983,0.581,0.431,0.053,0.372
Mauritania,Sub-Saharan Africa,122,4.49,0.0378,0.57,1.167,0.489,0.066,0.088,0.106
Mozambique,Sub-Saharan Africa,123,4.466,0.07068,0.204,0.986,0.39,0.494,0.138,0.197
Tunisia,Middle East and Northern Africa,124,4.461,0.03947,0.921,1,0.815,0.167,0.055,0.059
Bangladesh,Southern Asia,125,4.456,0.04734,0.562,0.928,0.723,0.527,0.143,0.166
Iraq,Middle East and Northern Africa,126,4.437,0.08096,1.043,0.98,0.574,0.241,0.089,0.148
Congo (Kinshasa),Sub-Saharan Africa,127,4.418,0.04763,0.094,1.125,0.357,0.269,0.053,0.212
Mali,Sub-Saharan Africa,128,4.39,0.04934,0.385,1.105,0.308,0.327,0.052,0.153
Sierra Leone,Sub-Saharan Africa,129,4.374,0.04351,0.268,0.841,0.242,0.309,0.045,0.252
Sri Lanka,Southern Asia,130,4.366,0.04221,0.949,1.265,0.831,0.47,0.047,0.244
Myanmar,Southeastern Asia,131,4.36,0.0613,0.71,1.181,0.555,0.525,0.172,0.566
Chad,Sub-Saharan Africa,132,4.35,0.03751,0.35,0.766,0.192,0.174,0.078,0.198
Ukraine,Central and Eastern Europe,133,4.332,0.04678,0.82,1.39,0.739,0.178,0.01,0.187
Ethiopia,Sub-Saharan Africa,134,4.286,0.04828,0.336,1.033,0.532,0.344,0.1,0.209
Swaziland,Sub-Saharan Africa,135,4.212,0.0326,0.811,1.149,0,0.313,0.135,0.074
Uganda,Sub-Saharan Africa,136,4.189,0.04367,0.332,1.069,0.443,0.356,0.06,0.252
Egypt,Middle East and Northern Africa,137,4.166,0.04758,0.913,1.039,0.644,0.241,0.067,0.076
Zambia,Sub-Saharan Africa,138,4.107,0.05602,0.578,1.058,0.426,0.431,0.087,0.247
Togo,Sub-Saharan Africa,139,4.085,0.06682,0.275,0.572,0.41,0.293,0.085,0.177
India,Southern Asia,140,4.015,0.04797,0.755,0.765,0.588,0.498,0.085,0.2
Liberia,Sub-Saharan Africa,141,3.975,0.04317,0.073,0.922,0.443,0.37,0.033,0.233
Comoros,Sub-Saharan Africa,142,3.973,0.03608,0.274,0.757,0.505,0.142,0.078,0.275
Madagascar,Sub-Saharan Africa,143,3.933,0.04547,0.274,0.916,0.555,0.148,0.041,0.169
Lesotho,Sub-Saharan Africa,144,3.802,0.03602,0.489,1.169,0.168,0.359,0.093,0.107
Burundi,Sub-Saharan Africa,145,3.775,0.05069,0.046,0.447,0.38,0.22,0.18,0.176
Zimbabwe,Sub-Saharan Africa,146,3.663,0.05061,0.366,1.114,0.433,0.361,0.089,0.151
Haiti,Latin America and Caribbean,147,3.597,0.03633,0.323,0.688,0.449,0.026,0.11,0.419
Botswana,Sub-Saharan Africa,148,3.488,0.06112,1.041,1.145,0.538,0.455,0.1,0.025
Syria,Middle East and Northern Africa,149,3.462,0.0383,0.619,0.378,0.44,0.013,0.141,0.331
Malawi,Sub-Saharan Africa,150,3.41,0.0359,0.191,0.56,0.495,0.443,0.089,0.218
Yemen,Middle East and Northern Africa,151,3.38,0.05141,0.287,1.163,0.463,0.143,0.077,0.108
Rwanda,Sub-Saharan Africa,152,3.334,0.04324,0.359,0.711,0.614,0.555,0.411,0.217
Tanzania,Sub-Saharan Africa,153,3.231,0.03084,0.476,0.885,0.499,0.417,0.147,0.276
Afghanistan,Southern Asia,154,3.203,0.03464,0.35,0.517,0.361,0,0.025,0.158
Central African Republic,Sub-Saharan Africa,155,3.083,0.03656,0.026,0,0.105,0.225,0.035,0.235
